jobma_catcher_id,is_premium,subscription_status,company_size,sub_user,wallet_amount,is_unlimited,subscription_sum,subscription_count,recorded_interview_count,live_interview_count,invites_count,interview_done,pre_recorded_kit_counts,jobs_posted,since_last_login
9856,0,1,1-25,0,50.0,0,176.5,1,0,0,0,0,1,1,3
9857,0,1,1-25,0,150.0,0,1.8,1,0,0,0,0,0,0,3
9858,0,1,1-25,1,50.0,0,0.6,1,0,0,0,0,0,0,3
9859,0,0,1-25,0,50.0,0,0.0,1,0,0,0,0,1,0,4
9860,0,1,1-25,0,50.0,0,0.6,1,0,0,0,0,0,0,3
9861,1,1,1-25,0,120.0,0,1.8,1,0,0,0,0,0,0,3
9862,0,1,1-25,0,50.0,0,5.9,1,0,0,0,0,0,0,3
9863,1,1,1-25,5,20839.0,0,607.1,19,291,38,6,323,63,36,0
9864,1,1,1-25,0,137.0,0,0.6,1,5,0,0,5,2,1,3
9865,0,1,1-25,0,50.0,0,0.6,1,0,0,0,0,0,0,3
9866,0,1,500-1000,0,50.0,0,176.5,1,0,0,0,0,0,0,3
9868,0,1,1-25,0,500000.0,1,117.6,1,19,0,4,15,1,1,3
9869,1,1,101-500,10,9299.0,0,3.0,3,395,22,18,399,107,48,0
9871,0,1,1-25,0,47.0,0,0.6,1,4,0,0,4,3,12,3
9873,0,1,26-100,1,142.0,0,1.8,1,13,4,0,17,2,2,3
9875,0,1,500-1000,1,35.0,0,0.6,1,3,0,0,3,1,1,2
9876,0,1,26-100,1,190.0,0,0.6,1,8,0,0,8,4,2,2
9878,0,1,101-500,1,26.0,0,0.6,1,3,0,0,3,6,1,2
9880,0,1,1-25,0,150.0,0,0.0,1,0,0,0,0,0,0,4
9881,0,1,101-500,0,50.0,0,0.6,1,0,0,0,0,1,3,3
9882,0,1,101-500,0,50.0,0,176.5,1,0,0,0,0,0,0,4
9883,0,1,101-500,1,71.0,0,120.6,4,56,0,0,56,6,11,2
9884,0,1,26-100,1,143.0,0,1.8,1,4,0,0,4,2,1,2
9885,0,1,101-500,1,126.0,0,1.8,1,22,0,0,22,4,4,2
9886,0,1,101-500,1,142.0,0,1.8,1,6,0,0,6,3,3,2
9887,0,1,101-500,0,50.0,0,176.5,1,1,0,0,1,1,10,2
9888,0,1,101-500,0,150.0,0,294.1,1,3,0,0,3,4,1,2
9889,0,1,101-500,1,500000.0,1,117.6,1,8,0,0,8,3,0,2
9890,0,1,1-25,0,50.0,0,0.6,1,0,0,0,0,0,0,2
9891,0,1,26-100,1,500000.0,1,117.6,1,65,16,0,81,19,18,2
9897,0,1,101-500,1,145.0,0,1.8,1,1,0,0,1,2,0,2
9899,0,1,26-100,0,135.0,0,1.8,1,6,0,0,6,1,3,3
9902,0,1,26-100,0,50.0,0,176.5,1,0,0,0,0,0,0,3
9903,0,1,More than 1000,2,499933.0,1,117.6,1,17,0,0,17,4,5,3
9907,1,1,101-500,2,32.0,0,0.6,1,14,1,0,15,2,4,3
9909,0,1,500-1000,1,50.0,0,0.6,1,9,0,0,9,5,6,4
9910,0,1,500-1000,0,50.0,0,0.6,1,0,0,0,0,0,0,4
9911,0,0,101-500,2,106.0,0,2.5,3,78,1,0,79,12,16,2
9916,0,0,1-25,0,500000.0,1,117.6,1,0,0,0,0,0,0,2
9917,0,0,1-25,0,500000.0,1,235.2,2,0,0,0,0,1,2,4
9918,0,1,500-1000,0,250.0,0,0.6,1,0,0,0,0,0,0,4
9919,0,1,1-25,1,50.0,0,0.6,1,0,0,0,0,0,0,4
9921,0,1,101-500,0,46.0,0,0.6,1,2,0,0,2,1,1,3
9922,0,1,1-25,1,500000.0,1,120.0,3,0,0,0,0,0,0,4
9924,0,1,101-500,0,24.0,0,0.6,1,7,0,0,7,5,1,4
9926,0,1,26-100,1,4.0,0,0.7,1,17,1,0,18,16,5,2
9927,0,1,26-100,0,145.0,0,1.8,1,1,0,0,1,1,2,2
9928,0,1,1-25,0,50.0,0,0.6,1,0,0,0,0,1,1,3
9931,0,1,26-100,1,296.0,0,0.6,1,32,0,0,32,6,6,2
9932,0,1,1-25,1,45.0,0,0.6,1,2,0,0,2,24,1,2
9934,0,1,500-1000,0,50.0,0,176.5,1,0,0,0,0,1,0,3
9935,0,1,26-100,0,50.0,0,0.6,1,0,0,0,0,1,0,3
9938,0,0,500-1000,1,120.0,0,4.2,3,13,0,0,13,1,2,2
9939,0,1,1-25,0,500000.0,1,117.6,1,0,0,0,0,3,0,3
9940,0,1,26-100,0,50.0,0,0.6,1,0,0,0,0,1,1,3
9944,0,1,1-25,0,500000.0,1,117.6,1,8,1,0,9,2,6,3
9945,0,1,More than 1000,0,500000.0,1,117.6,1,19,0,0,19,6,2,3
9946,0,1,1-25,0,50.0,0,0.6,1,0,0,0,0,1,2,2
9947,0,1,1-25,1,178.0,0,2.4,2,24,0,0,24,5,3,3
9949,0,1,26-100,2,180.0,0,2.4,2,4,0,0,4,1,3,3
9957,0,1,1-25,0,150.0,0,1.8,1,0,0,0,0,0,0,4
9958,1,1,1-25,0,5300.0,0,2.4,2,0,0,0,0,0,0,3
9962,0,1,1-25,1,81.0,0,1.8,1,0,0,0,0,0,0,2
9963,0,1,26-100,1,150.0,0,13.6,2,0,0,0,0,0,0,3
9965,0,1,1-25,1,1080.0,0,0.6,3,0,0,0,0,0,0,3
9966,0,0,1-25,0,500000.0,1,0.0,1,0,0,0,0,0,0,4
9967,0,0,1-25,0,150.0,0,0.0,1,0,0,0,0,0,0,4
9968,0,1,1-25,0,50.0,0,0.6,1,0,0,0,0,0,0,4
9969,0,1,1-25,1,188.0,0,0.6,1,33,0,0,33,6,9,3
